steamid	appid	playtime_forever
76561197960266298	72850	2260
76561197960266237	72200	110
76561197960266298	55230	84
76561197960266298	200900	155
76561197960266237	70000	624
76561197960266298	49520	477
76561197960266237	107200	109
76561197960266298	730	70
76561197960266237	42680	240
76561197960266237	42690	6316
76561197960266298	212680	87
76561197960266237	38600	1318
76561197960266298	200710	1707
76561197960266298	205100	63
76561197960266237	205610	119
76561197960266298	209540	89
76561197960266298	203160	599
76561197960266298	8870	735
76561197960266298	440	705
76561197960266237	730	108094
76561197960266237	200510	533
76561197960266237	219150	302
76561197960266237	223220	372
76561197960266237	57690	144
76561197960266237	202990	14329
76561197960266237	212910	549
76561197960266237	223630	73
76561197960266237	203140	1564
76561197960266237	209190	93
76561197960266237	113020	195
76561197960266237	227800	1007
76561197960266237	8870	100
76561197960266237	224220	674
76561197960266237	233720	381
76561197960266237	235250	245
76561197960266237	215690	114
76561197960266237	65930	78
76561197960266237	236090	232
76561197960266237	231160	151
76561197960266237	35720	79
76561197960266237	242800	117
76561197960266237	40390	232
76561197960266237	55230	154
76561197960266237	91310	1410
76561197960266237	207140	76
76561197960266237	246300	302
76561197960266237	40300	134
76561197960266237	214770	98
76561197960266237	244070	138
76561197960266237	259620	89
76561197960266237	236510	75
76561197960266237	244090	101
76561197960266237	262260	149
76561197960266237	263360	78
76561197960266237	266330	99
76561197960266237	270550	268
76561197960266237	267670	156
76561197960266237	270750	145
76561197960266237	270760	205
76561197960266237	239160	147
76561197960266237	266840	411
76561197960266237	35450	961
76561197960266237	63380	130
76561197960266237	440	10958
76561197960266237	1840	7514
76561197960266237	17570	64
76561197960266144	240	4947
76561197960266144	730	829
76561197960266144	440	315
76561197960266563	10	2414
76561197960266563	730	85
76561197960266563	200510	160
76561197960266141	7200	6805
76561197960266141	7650	1162
76561197960266141	7770	82
76561197960266141	18500	20220
76561197960266141	35310	200
76561197960266141	550	1665
76561197960266141	45000	3141
76561197960266141	99830	167
76561197960266141	63380	682
76561197960266141	200510	2577
76561197960266141	221540	103
76561197960266235	10	94
76561197960266292	300	1472
76561197960266292	240	85
76561197960266292	6100	280
76561197960266292	400	201
76561197960266292	13210	933
76561197960266292	17300	108
